"Date","Animals in Residence"
"2013-08-16","1"
"2013-08-17","2"
"2013-08-18","2"
"2013-08-19","2"
"2013-08-20","2"
"2013-08-21","2"
"2013-08-22","3"
"2013-08-23","3"
"2013-08-24","4"
"2013-08-25","4"
"2013-08-26","4"
"2013-08-27","4"
"2013-08-28","4"
"2013-08-29","4"
"2013-08-30","4"
"2013-08-31","5"
"2013-09-01","5"
"2013-09-02","5"
"2013-09-03","5"
"2013-09-04","5"
"2013-09-05","5"
"2013-09-06","5"
"2013-09-07","5"
"2013-09-08","5"
"2013-09-09","5"
"2013-09-10","5"
"2013-09-11","5"
"2013-09-12","5"
"2013-09-13","5"
"2013-09-14","5"
"2013-09-15","5"
"2013-09-16","5"
"2013-09-17","5"
"2013-09-18","5"
"2013-09-19","6"
"2013-09-20","6"
"2013-09-21","6"
"2013-09-22","6"
"2013-09-23","6"
"2013-09-24","6"
"2013-09-25","6"
"2013-09-26","6"
"2013-09-27","6"
"2013-09-28","6"
"2013-09-29","6"
"2013-09-30","6"
"2013-10-01","7"
"2013-10-02","7"
"2013-10-03","7"
"2013-10-04","7"
"2013-10-05","7"
"2013-10-06","7"
"2013-10-07","7"
"2013-10-08","8"
"2013-10-09","9"
"2013-10-10","9"
"2013-10-11","9"
"2013-10-12","9"
"2013-10-13","9"
"2013-10-14","9"
"2013-10-15","9"
"2013-10-16","9"
"2013-10-17","9"
"2013-10-18","9"
"2013-10-19","9"
"2013-10-20","9"
"2013-10-21","9"
"2013-10-22","9"
"2013-10-23","9"
"2013-10-24","9"
"2013-10-25","9"
"2013-10-26","10"
"2013-10-27","10"
"2013-10-28","10"
"2013-10-29","10"
"2013-10-30","11"
"2013-10-31","11"
"2013-11-01","11"
"2013-11-02","12"
"2013-11-03","12"
"2013-11-04","12"
"2013-11-05","12"
"2013-11-06","12"
"2013-11-07","13"
"2013-11-08","13"
"2013-11-09","13"
"2013-11-10","13"
"2013-11-11","13"
"2013-11-12","14"
"2013-11-13","14"
"2013-11-14","14"
"2013-11-15","14"
"2013-11-16","15"
"2013-11-17","15"
"2013-11-18","15"
"2013-11-19","15"
"2013-11-20","15"
"2013-11-21","16"
"2013-11-22","16"
"2013-11-23","16"
"2013-11-24","16"
"2013-11-25","16"
